image;id;name;name2;description;price;url;category;forever_url
https://iglika.me/products_img/Product_details_JPG/1000b.jpg;1000;Forever Aloe Vera Gel;Гел от Алое Вера;Със съдържание на над 99,7% чист гел от вътрешността на листата на алое вера Барбаденсис, който се грижи за храносмилателната система.;59.54 лв.;1000.html;Напитки;https://thealoeveraco.shop/MVdz18Km
https://iglika.me/products_img/Product_details_JPG/1001b.jpg;1001;Forever Aloe Mango;Алое Манго;Подкрепете храносмилателната система и се насладете на невероятния манго вкус!;59.54 лв.;1001.html;Напитки;https://thealoeveraco.shop/8YzEnKW4
https://iglika.me/products_img/Product_details_JPG/1075b.jpg;1075;Forever Aloe Peaches;Алое и праскови;Подобрете храносмилането си със силата на алоето и се насладете на вкуса на сладки и сочни праскови.;59.54 лв.;1075.html;Напитки;https://thealoeveraco.shop/ZfyOdxvY
https://iglika.me/products_img/Product_details_JPG/1082b.jpg;1082;Forever M?R;Форевър МООР;оревър МООР е следващата стъпка в еволюцията на сутрешното ви кафе, издигайки го до ново ниво с уникална комбинация от B витамини и таурин.;55.51 лв.;1082.html;Напитки;https://thealoeveraco.shop/LWYOApb6
https://iglika.me/products_img/Product_details_JPG/1002b.jpg;1002;Forever Aloe Berry Nectar;Алое Бери Нектар; 90,7% чист гел от алое вера плюс натурални плодови концентрати за подкрепа на вашето здраве!;59.54 лв.;1002.html;Напитки;https://thealoeveraco.shop/NpYCZ0rn
https://iglika.me/products_img/Product_details_JPG/1003b.jpg;1003;Aloe Vera Gel TriPack;Гел от Алое Вера ТриПак;Троен пакет Гел от Алое Вера!;178.61 лв.;1003.html;Напитки;https://thealoeveraco.shop/QKf7H3DK
https://iglika.me/products_img/Product_details_JPG/1004b.jpg;1004;Forever Aloe Peach TriPak;Алое Праскова ТриПак;Троен пакет Алое Праскова!;178.61 лв.;1004.html;Напитки;https://thealoeveraco.shop/KA3yqWyj
https://iglika.me/products_img/Product_details_JPG/1005b.jpg;1005;Aloe Berry Nectar TriPak;Алое Бери Нектар ТриПак;Троен пакет Алое Бери нектар!;178.61 лв.;1005.html;Напитки;https://thealoeveraco.shop/lh6O4vjr
https://iglika.me/products_img/Product_details_JPG/1084b.jpg;1084;Aloe Drinks TriPack;ТриПак - алое напитки; В пакета получавате ГЕЛА ОТ АЛОЕ ВЕРА заедно с АЛОЕ И ПРАСКОВИ и АЛОЕ БЕРИ НЕКТАР с неговия свеж и богат на антиоксиданти вкус, подкрепящ нормалното храносмилане. ;178.61 лв.;1084.html;Пакети;https://thealoeveraco.shop/m2owhXTK
https://iglika.me/products_img/Product_details_JPG/1006b.jpg;1006;Forever Aloe Vera Gel mini;Гел от Алое Вера мини;Със съдържание на над 99,7% чист гел от вътрешността на листата на алое вера Барбаденсис, който се грижи за храносмилателната система. Сега в мини опаковка 12 броя х 330мл!;238.12 лв.;1006.html;Напитки;https://thealoeveraco.shop/4RvdUmOy
https://iglika.me/products_img/Product_details_JPG/1007b.jpg;1007;Forever Aloe Peaches mini;Алое Праскови мини;84,5% чист гел от алое вера, допълнен с натурално пюре и аромат на праскови! Сега в мини опаковка 12 броя х 330мл!;238.12 лв.;1007.html;Напитки;https://thealoeveraco.shop/u1fGIlIO
https://iglika.me/products_img/Product_details_JPG/1008b.jpg;1008;Forever Aloe Berry Nectar mini;Алое Бери Нектар мини;90,7% чист гел от алое вера плюс натурални плодови концентрати за подкрепа на вашето здраве! Сега в мини опаковка 12 броя х 330мл!;238.12 лв.;1008.html;Напитки;https://thealoeveraco.shop/F050J9YB
https://iglika.me/products_img/Product_details_JPG/1009b.jpg;1009;Forever Freedom;Форевър Фрийдъм; Този напитка се гордее с висока концентрация от 89% чист гел от алое вера, който спомага за подкрепата на естествените защитни функции на нашето тяло.;81.36 лв.;1009.html;Напитки;https://thealoeveraco.shop/4gEsZLz7
https://iglika.me/products_img/Product_details_JPG/1076b.jpg;1076;FAB X Forever Active Boost;ФАБ Х Форевър актив бууст;Поемете контрол върху деня си с ФАБ Х.;8.58 лв.;1076.html;Напитки;https://thealoeveraco.shop/6jiYdjhY
https://iglika.me/products_img/Product_details_JPG/1010b.jpg;1010;Aloe Blossom Herbal Tea;Билков чай с цветчета от Алое;Безкофеинова смес от листа, билки и подправки, която може да се консумира гореща или охладена.;40.06 лв.;1010.html;Напитки;https://thealoeveraco.shop/CoHf1JAe
https://iglika.me/products_img/Product_details_JPG/1011b.jpg;1011;FAB Forever Active Boost;ФАБ- Енергийна напитка;FAB Forever Active Boost е богат на витамини B2, B3, B6 и B12. Помага за поддържането на нормалната функция на имунната система и намалява умората.;8.58 лв.;1011.html;Напитки;https://thealoeveraco.shop/lI9qE166
https://iglika.me/products_img/Product_details_JPG/1012b.jpg;1012;"Fields of Greens
";Зелени поля;"Fields of Greens е отличен източник на ""зелена храна"" и антиоксиданти.";27.48 лв.;1012.html;Добавки;https://thealoeveraco.shop/DwSQvpU8
https://iglika.me/products_img/Product_details_JPG/1078b.jpg;1078;Forever Absorbent-D;Абсорбент-D;Открийте силата на Абсорбент-D – удобна хранителна добавка, доставяща витамин D и вписваща се идеално в натовареното ви ежедневие.;32.61 лв.;1078.html;Добавки;https://thealoeveraco.shop/o6CfTF3U
https://iglika.me/products_img/Product_details_JPG/1085b.jpg;1085;Forever AloeTurm;Форевър АЛОЕТУРМ; Уникалната ни формула съдържа индийска куркума и е подсилена с цинк, който допринася за нормалната функция на имунната система.;14.90 лв.;1085.html;Добавки;https://thealoeveraco.shop/wP6hdOv4
https://iglika.me/products_img/Product_details_JPG/1013b.jpg;1013;Absorbent-C;Абсорбент-С;Създаден, за да осигури на тялото ви препоръчителната дневна доза на витамин С по лесен и вкусен начин.;40.06 лв.;1013.html;Добавки;https://thealoeveraco.shop/N3oIaEKt
https://iglika.me/products_img/Product_details_JPG/1014b.jpg;1014;Forever Arctic Sea;Арктическо море;Създаден, за да осигури балансирана комбинация от омега-3 мастни киселини.;72.68 лв.;1014.html;Добавки;https://thealoeveraco.shop/6poMbxCu
https://iglika.me/products_img/Product_details_JPG/1015b.jpg;1015;Argi+;Арги;Осигурява на тялото ви L-аргинин, мощна аминокиселина, по удобен и вкусен начин.;156.84 лв.;1015.html;Добавки;https://thealoeveraco.shop/j8KpEC9A
https://iglika.me/products_img/Product_details_JPG/1016b.jpg;1016;Forever B12 Plus;Форевър B12 плюс;Формула за освобождаване във времето, която осигурява постоянна доставка на активните съставки за тялото ви през целия ден.;35.50 лв.;1016.html;Добавки;https://thealoeveraco.shop/NIm8bMsN
https://iglika.me/products_img/Product_details_JPG/1017b.jpg;1017;Forever Bee Pollen;Пчелен прашец;Със съдържание на чист пчелен прашец, комбиниран с мед и пчелно млечице.;34.91 лв.;1017.html;Добавки;https://thealoeveraco.shop/8aXa6pM6
https://iglika.me/products_img/Product_details_JPG/1018b.jpg;1018;Forever Bee Propolis;Пчелен прополис;Добавката поддържа защитните сили на организма, съдържа естествени хранителни съединения и е източник на флавоноиди.;72.68 лв.;1018.html;Добавки;https://thealoeveraco.shop/15Dx7TdM
https://iglika.me/products_img/Product_details_JPG/1019b.jpg;1019;Forever Calcium;Форевър Калций;Създаден за да достави калций, витамин D и да помогне за поддържането на правилното здраве на костите.;54.94 лв.;1019.html;Добавки;https://thealoeveraco.shop/EXaSQPQi
https://iglika.me/products_img/Product_details_JPG/1020b.jpg;1020;Forever Garlic-Thyme;Чесън и мащерка;Съчетава всички ползи от чесъна и мащерката в едно.;41.79 лв.;1020.html;Добавки;https://thealoeveraco.shop/knIGG0bV
https://iglika.me/products_img/Product_details_JPG/1021b.jpg;1021;Forever Immublend;Форевър имубленд;Поддържа всички аспекти на имунната система и е с високо съдържание на витамини C, D и цинк.;48.08 лв.;1021.html;Добавки;https://thealoeveraco.shop/Rl4JxwNL
https://iglika.me/products_img/Product_details_JPG/1022b.jpg;1022;Forever Immune Gummy;Форевър имуно гъми;Желирани бонбони с тропически вкус, които осигуряват комбинация от 10 витамина и цинк дневно.;84.69 лв.;1022.html;Добавки;https://thealoeveraco.shop/isNsyZpc
https://iglika.me/products_img/Product_details_JPG/1023b.jpg;1023;Forever iVision;Форевър Айвижън;Съдържа комбинация от антиоксиданти и други хранителни вещества, които се грижат за поддържане оптималното здраве на очите. ;80.12 лв.;1023.html;Добавки;https://thealoeveraco.shop/x4KSeVKp
https://iglika.me/products_img/Product_details_JPG/1024b.jpg;1024;Forever Marine Collagen;Форевър Морски колаген;Висококачествен морски колаген,  полезен за хидратацията на кожата, структурата и здравето и.;187.14 лв.;1024.html;Добавки;https://thealoeveraco.shop/LZsjvLkE
https://iglika.me/products_img/Product_details_JPG/1025b.jpg;1025;Forever Multi-Maca;Форевър Mулти-мака; Включва внимателно подбрана смес от корени, плодове и ензими.;60.68 лв.;1025.html;Добавки;https://thealoeveraco.shop/npAImnls
https://iglika.me/products_img/Product_details_JPG/1026b.jpg;1026;Forever Royal Jelly;Пчелно млечице;Съдържа естествени протеини, мастни киселини, минерални соли, аминокиселини и витамини за подкрепа на здравето.;75.58 лв.;1026.html;Добавки;https://thealoeveraco.shop/gYkB46tG
https://iglika.me/products_img/Product_details_JPG/1027b.jpg;1027;Forever Supergreens;Форевър Супергрийнс;Този продукт е смес от над 20 плода, зеленчуци, суперхрани и алое. Стимулира естествените нива на енергия и метаболизма и е богат на антиоксидантните витамини C и E.;88.12 лв.;1027.html;Добавки;https://thealoeveraco.shop/DCi4yrWn
https://iglika.me/products_img/Product_details_JPG/1028b.jpg;1028;Vitolize men;Витолайз за него;Съдържа комбинация от билки, витамини, минерали включително цинк.;68.68 лв.;1028.html;Добавки;https://thealoeveraco.shop/cloBqjlU
https://iglika.me/products_img/Product_details_JPG/1029b.jpg;1029;Vitolize women;Витолайз за нея;Богата на желязо, което допринася за нормалната когнитивна функция и фолиева киселина.;72.68 лв.;1029.html;Добавки;https://thealoeveraco.shop/JYmQ4bfY
https://iglika.me/products_img/Product_details_JPG/1030b.jpg;1030;Infinite by Forever firming complex;Стягащ комплекс;Със съдържание на витамин C, който помага за здравословната формация на колаген в кожата, биотин за поддържане на здрава коса и кожа, и допълнителен морски колаген.;118.46 лв.;1030.html;Добавки;https://thealoeveraco.shop/OQSVJNxR
https://iglika.me/products_img/Product_details_JPG/1031b.jpg;1031;Aloe activator;Алое активатор;Този продукт съдържа над 98% гел от алое вера, което го прави идеален за чувствителна кожа. ;36.61 лв.;1031.html;Грижа за лицето;https://thealoeveraco.shop/yJ7oHqhq
https://iglika.me/products_img/Product_details_JPG/1032b.jpg;1032;Awakening eye cream;Пробуждащ околоочен крем ;Предназначен да подобри и изглади чувствителната област около очите, видимо намалява появата на линии, бръчки и тъмни кръгове.;41.79 лв.;1032.html;Грижа за лицето;https://thealoeveraco.shop/aO41Tsms
https://iglika.me/products_img/Product_details_JPG/1033b.jpg;1033;Balancing toner;Балансиращ тоник;Помага да се балансира pH на кожата и да се премахне излишният остатък след използване на почистващи продукти.;49.78 лв.;1033.html;Грижа за лицето;https://thealoeveraco.shop/xPLE52Gf
https://iglika.me/products_img/Product_details_JPG/1077b.jpg;1077;Aloe Bio-Cellulose Mask;Алое био-целулозна маска;Алое био-целулозната маска на Форевър осигурява интензивно и съживяващо овлажняване с напредничави технологии и натурални съставки.;72.68 лв.;1077.html;Грижа за лицето;https://thealoeveraco.shop/yhHHTSID
https://iglika.me/products_img/Product_details_JPG/1034b.jpg;1034;Aloe lips;Алое липс;Най-доброто решение срещу напукани устни.;8.00 лв.;1034.html;Грижа за лицето;https://thealoeveraco.shop/n4pNKmLa
https://iglika.me/products_img/Product_details_JPG/1035b.jpg;1035;Aloe scrub;Алое ексфолиант;Натурален ексфолиант за лице и тяло.;36.08 лв.;1035.html;Грижа за лицето;https://thealoeveraco.shop/iYlHOyTa
https://iglika.me/products_img/Product_details_JPG/1036b.jpg;1036;Infinite by Forever;Инфинит от Форевър;Продуктите се грижат за това да намалят появата на фини линии и бръчки, да подобрят гладкостта на кожата и да подкрепят красотата отвътре навън.;400.64 лв.;1036.html;Грижа за лицето;https://thealoeveraco.shop/WssM5BFA
https://iglika.me/products_img/Product_details_JPG/1037b.jpg;1037;Hydrating serum;Хидратиращ серум;Продукт за грижа за кожата, предназначен да осигури максимална хидратация.;80.12 лв.;1037.html;Грижа за лицето;https://thealoeveraco.shop/EfnsGvAF
https://iglika.me/products_img/Product_details_JPG/1038b.jpg;1038;Infinite by Forever firming serum;Инфинит стягащ серум;Допълва естествените процеси в кожата, за да увеличи здравината и да намали появата на фини линии и бръчки;119.05 лв.;1038.html;Грижа за лицето;https://thealoeveraco.shop/Ewgk3M5v
https://iglika.me/products_img/Product_details_JPG/1039b.jpg;1039;Infinite by Forever hydrating cleanser;Хидратиращ почистващ лосион;Хидратира кожата, нежно отмива мръсотията и мазнините без да изсушава.;60.11 лв.;1039.html;Грижа за лицето;https://thealoeveraco.shop/99gbQYlR
https://iglika.me/products_img/Product_details_JPG/1040b.jpg;1040;Infinite by Forever restoring creme;Възстановяващ крем; Абсорбира се в кожата, като я оставя хидратирана и гладка.;132.77 лв.;1040.html;Грижа за лицето;https://thealoeveraco.shop/rtvqBi7o
https://iglika.me/products_img/Product_details_JPG/1041b.jpg;1041;Protecting Day Lotion;Защитен дневен лосион;Този лосион предлага широкоспектърна SPF 20 защита и подхранва кожата.;83.57 лв.;1041.html;Грижа за лицето;https://thealoeveraco.shop/KI8xZjZk
https://iglika.me/products_img/Product_details_JPG/1042b.jpg;1042;Smoothing exfoliator;Изглаждащ ексфолиант;Премахва мъртвите клетки и изглажда текстурата, за по-сияеща кожа.;41.79 лв.;1042.html;Грижа за лицето;https://thealoeveraco.shop/5oHLcCUY
https://iglika.me/products_img/Product_details_JPG/1043b.jpg;1043;Sonya daily skincare system;"Ежедневна грижа за кожата ""Соня""";Формулирана специално за комбинирана кожа, цялата линия осигурява най-доброто от науката и природата за всеки аспект от ежедневната ви грижа за кожата.;195.18 лв.;1043.html;Грижа за лицето;https://thealoeveraco.shop/JmeJoUgS
https://iglika.me/products_img/Product_details_JPG/1044b.jpg;1044;Sonya illuminating gel;Озаряващ гел;Помага за хармонизация на тена на кожата и намаляване на пигментните петна.;50.92 лв.;1044.html;Грижа за лицето;https://thealoeveraco.shop/7FQA31Yt
https://iglika.me/products_img/Product_details_JPG/1045b.jpg;1045;Sonya refining gel mask;Усъвършенстваща гел маска;Поддържа външния вид на кожата, контролира мазнините и озарява тена.;53.82 лв.;1045.html;Грижа за лицето;https://thealoeveraco.shop/oQqqQ6Qd
https://iglika.me/products_img/Product_details_JPG/1046b.jpg;1046;Sonya refreshing gel cleanser;Освежаващ почистващ гел;Иновативен почистващ гел за лице, специално разработен за комбинирана кожа.;53.82 лв.;1046.html;Грижа за лицето;https://thealoeveraco.shop/yuqyGUvl
https://iglika.me/products_img/Product_details_JPG/1047b.jpg;1047;Sonya soothing gel moisturizer;Успокояващ овлажняващ гел;Осигурява мощно успокояващо и овлажняващо действие за комбинирана кожа.;58.96 лв.;1047.html;Грижа за лицето;https://thealoeveraco.shop/EUmgbaA3
https://iglika.me/products_img/Product_details_JPG/1048b.jpg;1048;Aloe Body Lotion;Алое лосион за тяло;Ежедневен овлажняващ продукт, който омекотява кожата и я оставя хидратирана и здрава.;34.34 лв.;1048.html;Грижа за тялото;https://thealoeveraco.shop/ZtGsCQE7
https://iglika.me/products_img/Product_details_JPG/1049b.jpg;1049;Aloe Cooling lotion;Aлое oхлаждащ лосион;Предоставя охлаждащо усещане с освежаващ ментов аромат.;34.34 лв.;1049.html;Грижа за тялото;https://thealoeveraco.shop/gjtFnOdL
https://iglika.me/products_img/Product_details_JPG/1050b.jpg;1050;Aloe First;Алое Фърст;Успокояващ продукт за грижа за кожата, съдържащ гел от алое вера, пчелен прополис и единадесет полезни билкови екстракта. ;45.24 лв.;1050.html;Грижа за тялото;https://thealoeveraco.shop/3PFVOgov
https://iglika.me/products_img/Product_details_JPG/1051b.jpg;1051;Aloe MSM Gel;Алое МСМ гел;Предназначен за облекчаване на ставни и мускулни болки. ;52.68 лв.;1051.html;Грижа за тялото;https://thealoeveraco.shop/XZsXABV6
